Translation Key Comparison Report
==================================================

Total used keys: 900
EN keys: 644
FA keys: 644
AR keys: 890

Key                                                EN  FA  AR  Status              
<td className=                                     ✗   ✗   ✗   CRITICAL (missing in all)
Add to Cart                                        ✗   ✗   ✗   CRITICAL (missing in all)
Error                                              ✗   ✗   ✗   CRITICAL (missing in all)
Featured Products                                  ✗   ✗   ✗   CRITICAL (missing in all)
Loading products...                                ✗   ✗   ✗   CRITICAL (missing in all)
No description available.                          ✗   ✗   ✗   CRITICAL (missing in all)
about.countries                                    ✗   ✗   ✓   PARTIAL             
about.customerExperience                           ✗   ✗   ✓   PARTIAL             
about.customerFocused                              ✗   ✗   ✓   PARTIAL             
about.customerFocusedDesc                          ✗   ✗   ✓   PARTIAL             
about.founderCEO                                   ✗   ✗   ✓   PARTIAL             
about.getInTouch                                   ✗   ✗   ✓   PARTIAL             
about.globalReach                                  ✗   ✗   ✓   PARTIAL             
about.globalReachDesc                              ✗   ✗   ✓   PARTIAL             
about.happyCustomers                               ✗   ✗   ✓   PARTIAL             
about.headOfDesign                                 ✗   ✗   ✓   PARTIAL             
about.joinOurJourney                               ✗   ✗   ✓   PARTIAL             
about.joinSubtitle                                 ✗   ✗   ✓   PARTIAL             
about.meetTheTeam                                  ✗   ✗   ✓   PARTIAL             
about.ourStory                                     ✗   ✗   ✓   PARTIAL             
about.ourValues                                    ✗   ✗   ✓   PARTIAL             
about.premiumProducts                              ✗   ✗   ✓   PARTIAL             
about.qualityFirst                                 ✗   ✗   ✓   PARTIAL             
about.qualityFirstDesc                             ✗   ✗   ✓   PARTIAL             
about.satisfactionRate                             ✗   ✗   ✓   PARTIAL             
about.secureShopping                               ✗   ✗   ✓   PARTIAL             
about.secureShoppingDesc                           ✗   ✗   ✓   PARTIAL             
about.shopNow                                      ✗   ✗   ✓   PARTIAL             
about.storyPara1                                   ✗   ✗   ✓   PARTIAL             
about.storyPara2                                   ✗   ✗   ✓   PARTIAL             
about.storyPara3                                   ✗   ✗   ✓   PARTIAL             
about.storyPara4                                   ✗   ✗   ✓   PARTIAL             
about.subtitle                                     ✗   ✗   ✓   PARTIAL             
about.teamSubtitle                                 ✗   ✗   ✓   PARTIAL             
about.techLead                                     ✗   ✗   ✓   PARTIAL             
about.title                                        ✗   ✗   ✓   PARTIAL             
about.valuesSubtitle                               ✗   ✗   ✓   PARTIAL             
admin.actions                                      ✗   ✗   ✗   CRITICAL (missing in all)
admin.active                                       ✗   ✗   ✓   PARTIAL             
admin.activeCheckbox                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.addFirstProduct                              ✗   ✗   ✗   CRITICAL (missing in all)
admin.addProduct                                   ✗   ✗   ✗   CRITICAL (missing in all)
admin.allOrders                                    ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryBeauty                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryBooks                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryClothing                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryElectronics                          ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryFood                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryHome                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryLabel                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.categorySports                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.categoryToys                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.clearButton                                  ✗   ✗   ✗   CRITICAL (missing in all)
admin.createButton                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.createProduct                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.customer                                     ✗   ✗   ✗   CRITICAL (missing in all)
admin.customerLabel                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.dashboard                                    ✗   ✗   ✓   PARTIAL             
admin.date                                         ✗   ✗   ✗   CRITICAL (missing in all)
admin.deleteOrder                                  ✗   ✗   ✗   CRITICAL (missing in all)
admin.deleteOrderConfirm                           ✗   ✗   ✗   CRITICAL (missing in all)
admin.deleteOrderError                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.deleteProductConfirm                         ✗   ✗   ✗   CRITICAL (missing in all)
admin.deleteProductError                           ✗   ✗   ✗   CRITICAL (missing in all)
admin.discountPriceLabel                           ✗   ✗   ✗   CRITICAL (missing in all)
admin.editProduct                                  ✗   ✗   ✗   CRITICAL (missing in all)
admin.failedToLoad                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.featuredCheckbox                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.imageURLLabel                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.imageURLPlaceholder                          ✗   ✗   ✗   CRITICAL (missing in all)
admin.items                                        ✗   ✗   ✗   CRITICAL (missing in all)
admin.last7Days                                    ✗   ✗   ✗   CRITICAL (missing in all)
admin.loadingDashboard                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.loadingOrders                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.loadingProducts                              ✗   ✗   ✗   CRITICAL (missing in all)
admin.manageOrders                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.manageOrdersDesc                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.manageProducts                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.manageProductsDesc                           ✗   ✗   ✗   CRITICAL (missing in all)
admin.newStatus                                    ✗   ✗   ✗   CRITICAL (missing in all)
admin.newThisMonth                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.noOrdersFound                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.noOrdersPlaced                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.noOrdersYet                                  ✗   ✗   ✗   CRITICAL (missing in all)
admin.noProductsFound                              ✗   ✗   ✗   CRITICAL (missing in all)
admin.noRevenueData                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.noStatusOrders                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.orderID                                      ✗   ✗   ✗   CRITICAL (missing in all)
admin.orderLabel                                   ✗   ✗   ✗   CRITICAL (missing in all)
admin.orderManagement                              ✗   ✗   ✗   CRITICAL (missing in all)
admin.orderManagementDesc                          ✗   ✗   ✗   CRITICAL (missing in all)
admin.ordersByStatus                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.ordersCount                                  ✗   ✗   ✗   CRITICAL (missing in all)
admin.priceLabel                                   ✗   ✗   ✗   CRITICAL (missing in all)
admin.productDescLabel                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.productDescPlaceholder                       ✗   ✗   ✗   CRITICAL (missing in all)
admin.productManagement                            ✗   ✗   ✗   CRITICAL (missing in all)
admin.productManagementDesc                        ✗   ✗   ✗   CRITICAL (missing in all)
admin.productTitleLabel                            ✗   ✗   ✗   CRITICAL (missing in all)
admin.productTitlePlaceholder                      ✗   ✗   ✗   CRITICAL (missing in all)
admin.recentOrders                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.retry                                        ✗   ✗   ✗   CRITICAL (missing in all)
admin.revenueOverview                              ✗   ✗   ✗   CRITICAL (missing in all)
admin.revenueThisMonth                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.saveProductError                             ✗   ✗   ✗   CRITICAL (missing in all)
admin.saving                                       ✗   ✗   ✗   CRITICAL (missing in all)
admin.searchButton                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.searchProductsPlaceholder                    ✗   ✗   ✗   CRITICAL (missing in all)
admin.selectCategory                               ✗   ✗   ✗   CRITICAL (missing in all)
admin.status                                       ✗   ✗   ✗   CRITICAL (missing in all)
admin.tagsLabel                                    ✗   ✗   ✗   CRITICAL (missing in all)
admin.tagsPlaceholder                              ✗   ✗   ✗   CRITICAL (missing in all)
admin.total                                        ✗   ✗   ✗   CRITICAL (missing in all)
admin.totalOrders                                  ✗   ✗   ✗   CRITICAL (missing in all)
admin.totalProducts                                ✗   ✗   ✗   CRITICAL (missing in all)
admin.totalRevenue                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.totalUsers                                   ✗   ✗   ✗   CRITICAL (missing in all)
admin.tryDifferentSearch                           ✗   ✗   ✗   CRITICAL (missing in all)
admin.updateButton                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.updateOrderStatus                            ✗   ✗   ✗   CRITICAL (missing in all)
admin.updateStatus                                 ✗   ✗   ✗   CRITICAL (missing in all)
admin.updateStatusError                            ✗   ✗   ✗   CRITICAL (missing in all)
admin.updating                                     ✗   ✗   ✗   CRITICAL (missing in all)
admin.viewAll                                      ✗   ✗   ✗   CRITICAL (missing in all)
admin.viewDetails                                  ✗   ✗   ✗   CRITICAL (missing in all)
admin.welcomeMessage                               ✗   ✗   ✗   CRITICAL (missing in all)
allows adding to cart when product is in stock     ✗   ✗   ✗   CRITICAL (missing in all)
auth.agreeToTerms                                  ✗   ✗   ✓   PARTIAL             
auth.confirmPassword                               ✗   ✗   ✓   PARTIAL             
auth.confirmPasswordRequired                       ✗   ✗   ✓   PARTIAL             
auth.createAccount                                 ✗   ✗   ✓   PARTIAL             
auth.email                                         ✗   ✗   ✓   PARTIAL             
auth.emailInvalid                                  ✗   ✗   ✓   PARTIAL             
auth.emailRequired                                 ✗   ✗   ✓   PARTIAL             
auth.forgotPassword                                ✗   ✗   ✓   PARTIAL             
auth.haveAccount                                   ✗   ✗   ✓   PARTIAL             
auth.login                                         ✗   ✗   ✓   PARTIAL             
auth.loginPageTitle                                ✗   ✗   ✓   PARTIAL             
auth.loginSuccess                                  ✗   ✗   ✓   PARTIAL             
auth.logout                                        ✗   ✗   ✗   CRITICAL (missing in all)
auth.logoutSuccess                                 ✗   ✗   ✗   CRITICAL (missing in all)
auth.name                                          ✗   ✗   ✓   PARTIAL             
auth.nameMin                                       ✗   ✗   ✓   PARTIAL             
auth.nameRequired                                  ✗   ✗   ✓   PARTIAL             
auth.noAccount                                     ✗   ✗   ✓   PARTIAL             
auth.orSignUpWith                                  ✗   ✗   ✓   PARTIAL             
auth.password                                      ✗   ✗   ✓   PARTIAL             
auth.passwordMedium                                ✗   ✗   ✓   PARTIAL             
auth.passwordMin                                   ✗   ✗   ✓   PARTIAL             
auth.passwordMismatch                              ✗   ✗   ✓   PARTIAL             
auth.passwordRequired                              ✗   ✗   ✓   PARTIAL             
auth.passwordStrength                              ✗   ✗   ✓   PARTIAL             
auth.passwordStrong                                ✗   ✗   ✓   PARTIAL             
auth.passwordWeak                                  ✗   ✗   ✓   PARTIAL             
auth.registerPageTitle                             ✗   ✗   ✓   PARTIAL             
auth.rememberMe                                    ✗   ✗   ✓   PARTIAL             
auth.signInToAccount                               ✗   ✗   ✓   PARTIAL             
auth.signup                                        ✗   ✗   ✓   PARTIAL             
auth.signupSuccess                                 ✗   ✗   ✓   PARTIAL             
auth.termsRequired                                 ✗   ✗   ✓   PARTIAL             
auth.welcomeBack                                   ✗   ✗   ✓   PARTIAL             
bestsellers                                        ✗   ✗   ✗   CRITICAL (missing in all)
blog.post1_excerpt                                 ✗   ✗   ✓   PARTIAL             
blog.post1_title                                   ✗   ✗   ✓   PARTIAL             
blog.post2_excerpt                                 ✗   ✗   ✓   PARTIAL             
blog.post2_title                                   ✗   ✗   ✓   PARTIAL             
blog.post3_excerpt                                 ✗   ✗   ✓   PARTIAL             
blog.post3_title                                   ✗   ✗   ✓   PARTIAL             
blog.subtitle                                      ✗   ✗   ✓   PARTIAL             
blog.title                                         ✗   ✗   ✓   PARTIAL             
buttons.addToCart                                  ✗   ✗   ✓   PARTIAL             
buttons.aiActions                                  ✗   ✗   ✓   PARTIAL             
buttons.backToHome                                 ✗   ✗   ✗   CRITICAL (missing in all)
buttons.changeLanguage                             ✗   ✗   ✓   PARTIAL             
buttons.closeCart                                  ✗   ✗   ✓   PARTIAL             
buttons.closeFilters                               ✗   ✗   ✓   PARTIAL             
buttons.closeModal                                 ✗   ✗   ✓   PARTIAL             
buttons.closeNotification                          ✗   ✗   ✓   PARTIAL             
buttons.contactSupport                             ✗   ✗   ✗   CRITICAL (missing in all)
buttons.decreaseQuantity                           ✗   ✗   ✓   PARTIAL             
buttons.increaseQuantity                           ✗   ✗   ✓   PARTIAL             
buttons.menu                                       ✗   ✗   ✓   PARTIAL             
buttons.openCart                                   ✗   ✗   ✓   PARTIAL             
buttons.readMore                                   ✗   ✗   ✗   CRITICAL (missing in all)
buttons.removeCoupon                               ✗   ✗   ✓   PARTIAL             
buttons.removeItem                                 ✗   ✗   ✓   PARTIAL             
buttons.search                                     ✗   ✗   ✓   PARTIAL             
buttons.sendMessage                                ✗   ✗   ✓   PARTIAL             
buttons.sending                                    ✗   ✗   ✗   CRITICAL (missing in all)
buttons.toggleFilters                              ✗   ✗   ✓   PARTIAL             
buttons.typeMessage                                ✗   ✗   ✓   PARTIAL             
buttons.viewDetails                                ✗   ✗   ✗   CRITICAL (missing in all)
calls addToCart with correct product and quantity when add to cart button is clicked ✗   ✗   ✗   CRITICAL (missing in all)
careers.benefits                                   ✗   ✗   ✓   PARTIAL             
careers.benefits_desc                              ✗   ✗   ✓   PARTIAL             
careers.collaborative                              ✗   ✗   ✓   PARTIAL             
careers.collaborative_desc                         ✗   ✗   ✓   PARTIAL             
careers.content                                    ✗   ✗   ✓   PARTIAL             
careers.growth                                     ✗   ✗   ✓   PARTIAL             
careers.growth_desc                                ✗   ✗   ✓   PARTIAL             
careers.subtitle                                   ✗   ✗   ✓   PARTIAL             
careers.title                                      ✗   ✗   ✓   PARTIAL             
careers.whyJoinUs                                  ✗   ✗   ✓   PARTIAL             
cart.continueShopping                              ✗   ✗   ✓   PARTIAL             
cart.empty                                         ✗   ✗   ✓   PARTIAL             
cart.emptyMessage                                  ✗   ✗   ✓   PARTIAL             
cart.insufficientStock                             ✗   ✗   ✓   PARTIAL             
cart.itemInCart                                    ✗   ✗   ✓   PARTIAL             
cart.itemsInCart                                   ✗   ✗   ✓   PARTIAL             
cart.proceedToCheckout                             ✗   ✗   ✓   PARTIAL             
cart.subtotal                                      ✗   ✗   ✓   PARTIAL             
cart.title                                         ✗   ✗   ✓   PARTIAL             
cart.total                                         ✗   ✗   ✓   PARTIAL             
chat.aiActions.giftSuggestion                      ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.giftSuggestionDesc                  ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.imageAnalysis                       ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.imageAnalysisDesc                   ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.priceComparison                     ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.priceComparisonDesc                 ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.productRecommendation               ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.productRecommendationDesc           ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.sizeRecommendation                  ✗   ✗   ✗   CRITICAL (missing in all)
chat.aiActions.sizeRecommendationDesc              ✗   ✗   ✗   CRITICAL (missing in all)
chat.assistantName                                 ✗   ✗   ✓   PARTIAL             
chat.chat_placeholder                              ✗   ✗   ✓   PARTIAL             
chat.closeChat                                     ✗   ✗   ✓   PARTIAL             
chat.connecting                                    ✗   ✗   ✓   PARTIAL             
chat.guest_mode                                    ✗   ✗   ✓   PARTIAL             
chat.intro                                         ✗   ✗   ✓   PARTIAL             
chat.legacy_description                            ✗   ✗   ✗   CRITICAL (missing in all)
chat.legacy_message                                ✗   ✗   ✗   CRITICAL (missing in all)
chat.legacy_title                                  ✗   ✗   ✗   CRITICAL (missing in all)
chat.new_description                               ✗   ✗   ✓   PARTIAL             
chat.new_title                                     ✗   ✗   ✓   PARTIAL             
chat.offline                                       ✗   ✗   ✓   PARTIAL             
chat.online                                        ✗   ✗   ✓   PARTIAL             
chat.openChat                                      ✗   ✗   ✗   CRITICAL (missing in all)
chat.openChatGuest                                 ✗   ✗   ✓   PARTIAL             
chat.typing                                        ✗   ✗   ✓   PARTIAL             
chat.welcome                                       ✗   ✗   ✓   PARTIAL             
checkout.acceptTermsAlert                          ✗   ✗   ✗   CRITICAL (missing in all)
checkout.addressPlaceholder                        ✗   ✗   ✗   CRITICAL (missing in all)
checkout.addressRequired                           ✗   ✗   ✗   CRITICAL (missing in all)
checkout.agreeToTerms                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.and                                       ✗   ✗   ✗   CRITICAL (missing in all)
checkout.backToCart                                ✗   ✗   ✗   CRITICAL (missing in all)
checkout.browseProducts                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cardDetails                               ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cardNumber                                ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cardNumberPlaceholder                     ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cardholderName                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cardholderNamePlaceholder                 ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cashOnDelivery                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.changeMethod                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.changePayment                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.choosePaymentMethod                       ✗   ✗   ✗   CRITICAL (missing in all)
checkout.chooseShippingMethod                      ✗   ✗   ✗   CRITICAL (missing in all)
checkout.city                                      ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cityPlaceholder                           ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cityRequired                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.codDescription                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.codTitle                                  ✗   ✗   ✗   CRITICAL (missing in all)
checkout.continue                                  ✗   ✗   ✗   CRITICAL (missing in all)
checkout.countries.au                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.countries.ca                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.countries.uk                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.countries.us                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.country                                   ✗   ✗   ✗   CRITICAL (missing in all)
checkout.creditDebitCard                           ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cvv                                       ✗   ✗   ✗   CRITICAL (missing in all)
checkout.cvvPlaceholder                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.deliveryMethod                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.discount                                  ✗   ✗   ✓   PARTIAL             
checkout.editAddress                               ✗   ✗   ✗   CRITICAL (missing in all)
checkout.emailAddress                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.emailInvalid                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.emailPlaceholder                          ✗   ✗   ✗   CRITICAL (missing in all)
checkout.emailRequired                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.emptyCartMessage                          ✗   ✗   ✗   CRITICAL (missing in all)
checkout.emptyCartTitle                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.expiryDate                                ✗   ✗   ✗   CRITICAL (missing in all)
checkout.expiryDatePlaceholder                     ✗   ✗   ✗   CRITICAL (missing in all)
checkout.expressShipping                           ✗   ✗   ✗   CRITICAL (missing in all)
checkout.expressShippingDays                       ✗   ✗   ✗   CRITICAL (missing in all)
checkout.free                                      ✗   ✗   ✓   PARTIAL             
checkout.fullName                                  ✗   ✗   ✗   CRITICAL (missing in all)
checkout.fullNamePlaceholder                       ✗   ✗   ✗   CRITICAL (missing in all)
checkout.fullNameRequired                          ✗   ✗   ✗   CRITICAL (missing in all)
checkout.nextDayDelivery                           ✗   ✗   ✗   CRITICAL (missing in all)
checkout.nextDayDeliveryDesc                       ✗   ✗   ✗   CRITICAL (missing in all)
checkout.orderErrorMessage                         ✗   ✗   ✗   CRITICAL (missing in all)
checkout.orderItems                                ✗   ✗   ✗   CRITICAL (missing in all)
checkout.orderSummary                              ✗   ✗   ✓   PARTIAL             
checkout.payInCash                                 ✗   ✗   ✗   CRITICAL (missing in all)
checkout.paymentMethod                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.phoneNumber                               ✗   ✗   ✗   CRITICAL (missing in all)
checkout.phonePlaceholder                          ✗   ✗   ✗   CRITICAL (missing in all)
checkout.phoneRequired                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.placeOrder                                ✗   ✗   ✗   CRITICAL (missing in all)
checkout.placingOrder                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.previous                                  ✗   ✗   ✗   CRITICAL (missing in all)
checkout.privacyPolicy                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.quantity                                  ✗   ✗   ✗   CRITICAL (missing in all)
checkout.required                                  ✗   ✗   ✗   CRITICAL (missing in all)
checkout.reviewOrder                               ✗   ✗   ✗   CRITICAL (missing in all)
checkout.reviewOrderMessage                        ✗   ✗   ✗   CRITICAL (missing in all)
checkout.saveAddress                               ✗   ✗   ✗   CRITICAL (missing in all)
checkout.secureCheckout                            ✗   ✗   ✓   PARTIAL             
checkout.securePaymentInfo                         ✗   ✗   ✗   CRITICAL (missing in all)
checkout.shipping                                  ✗   ✗   ✓   PARTIAL             
checkout.shippingAddress                           ✗   ✗   ✗   CRITICAL (missing in all)
checkout.standardShipping                          ✗   ✗   ✗   CRITICAL (missing in all)
checkout.standardShippingDays                      ✗   ✗   ✗   CRITICAL (missing in all)
checkout.state                                     ✗   ✗   ✗   CRITICAL (missing in all)
checkout.statePlaceholder                          ✗   ✗   ✗   CRITICAL (missing in all)
checkout.stateRequired                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.steps.delivery                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.steps.payment                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.steps.review                              ✗   ✗   ✗   CRITICAL (missing in all)
checkout.steps.shipping                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.streetAddress                             ✗   ✗   ✗   CRITICAL (missing in all)
checkout.subtotal                                  ✗   ✗   ✗   CRITICAL (missing in all)
checkout.tax                                       ✗   ✗   ✓   PARTIAL             
checkout.termsAndConditions                        ✗   ✗   ✗   CRITICAL (missing in all)
checkout.title                                     ✗   ✗   ✓   PARTIAL             
checkout.total                                     ✗   ✗   ✗   CRITICAL (missing in all)
checkout.zipCode                                   ✗   ✗   ✗   CRITICAL (missing in all)
checkout.zipPlaceholder                            ✗   ✗   ✗   CRITICAL (missing in all)
checkout.zipRequired                               ✗   ✗   ✗   CRITICAL (missing in all)
className=                                         ✗   ✗   ✗   CRITICAL (missing in all)
common.and                                         ✗   ✗   ✓   PARTIAL             
common.backToHome                                  ✗   ✗   ✓   PARTIAL             
common.cancel                                      ✗   ✗   ✗   CRITICAL (missing in all)
common.delete                                      ✗   ✗   ✗   CRITICAL (missing in all)
common.edit                                        ✗   ✗   ✗   CRITICAL (missing in all)
common.errorOccurred                               ✗   ✗   ✓   PARTIAL             
common.legacy_notice                               ✗   ✗   ✗   CRITICAL (missing in all)
common.loading                                     ✗   ✗   ✓   PARTIAL             
common.new_features                                ✗   ✗   ✗   CRITICAL (missing in all)
common.new_features_notice                         ✗   ✗   ✓   PARTIAL             
common.pageNotFound                                ✗   ✗   ✗   CRITICAL (missing in all)
common.storeName                                   ✗   ✗   ✓   PARTIAL             
common.use_legacy                                  ✗   ✗   ✓   PARTIAL             
common.use_new                                     ✗   ✗   ✓   PARTIAL             
contact.address                                    ✗   ✗   ✓   PARTIAL             
contact.addressLine1                               ✗   ✗   ✓   PARTIAL             
contact.addressLine2                               ✗   ✗   ✓   PARTIAL             
contact.address_text                               ✗   ✗   ✗   CRITICAL (missing in all)
contact.business_days                              ✗   ✗   ✗   CRITICAL (missing in all)
contact.business_hours                             ✗   ✗   ✗   CRITICAL (missing in all)
contact.business_hours_title                       ✗   ✗   ✗   CRITICAL (missing in all)
contact.confirmation                               ✗   ✗   ✗   CRITICAL (missing in all)
contact.email                                      ✗   ✗   ✓   PARTIAL             
contact.emailAddress                               ✗   ✗   ✓   PARTIAL             
contact.emailAddress2                              ✗   ✗   ✓   PARTIAL             
contact.emailInvalid                               ✗   ✗   ✗   CRITICAL (missing in all)
contact.emailPlaceholder                           ✗   ✗   ✗   CRITICAL (missing in all)
contact.emailRequired                              ✗   ✗   ✗   CRITICAL (missing in all)
contact.emailResponse                              ✗   ✗   ✓   PARTIAL             
contact.email_address                              ✗   ✗   ✗   CRITICAL (missing in all)
contact.email_label                                ✗   ✗   ✗   CRITICAL (missing in all)
contact.email_placeholder                          ✗   ✗   ✗   CRITICAL (missing in all)
contact.email_response                             ✗   ✗   ✗   CRITICAL (missing in all)
contact.followUs                                   ✗   ✗   ✓   PARTIAL             
contact.followUsSubtitle                           ✗   ✗   ✓   PARTIAL             
contact.form_title                                 ✗   ✗   ✗   CRITICAL (missing in all)
